-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2020 through 12/31/2020 
Location: Latitude  11.119   Longitude 108.0229 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 160.45 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2020,10,1,4.53,13.27,0.41,2.07
2020,10,2,5.0,14.28,0.43,2.2
2020,10,3,5.06,14.02,0.41,2.12
2020,10,4,4.2,12.15,0.38,1.91
2020,10,5,3.04,9.63,0.3,1.51
2020,10,6,2.26,7.15,0.21,1.09
2020,10,7,3.87,11.81,0.38,1.93
2020,10,8,3.85,11.45,0.34,1.75
2020,10,9,2.92,9.17,0.28,1.43
2020,10,10,3.74,11.26,0.34,1.74
2020,10,11,4.57,13.24,0.4,2.04
2020,10,12,4.64,13.22,0.4,2.05
2020,10,13,3.92,11.72,0.36,1.83
2020,10,14,2.73,8.82,0.28,1.41
2020,10,15,4.25,12.55,0.38,1.95
2020,10,16,2.55,8.2,0.25,1.27
2020,10,17,2.44,7.84,0.24,1.22
2020,10,18,2.5,7.74,0.22,1.1
2020,10,19,4.42,12.6,0.38,1.91
2020,10,20,5.03,14.03,0.41,2.09
2020,10,21,2.24,7.22,0.21,1.06
2020,10,22,5.65,14.79,0.44,2.27
2020,10,23,4.02,11.84,0.36,1.86
2020,10,24,3.32,9.74,0.29,1.45
2020,10,25,4.46,11.99,0.35,1.82
2020,10,26,4.63,12.59,0.37,1.89
2020,10,27,2.94,9.15,0.27,1.4
2020,10,28,2.76,8.57,0.26,1.32
2020,10,29,3.35,10.07,0.3,1.52
2020,10,30,4.85,13.32,0.38,1.93
2020,10,31,4.12,11.77,0.34,1.69
2020,11,1,4.79,13.15,0.38,1.92
2020,11,2,5.9,15.15,0.42,2.2
2020,11,3,5.46,14.08,0.4,2.03
2020,11,4,4.37,11.76,0.34,1.72
2020,11,5,4.8,13.06,0.38,1.95
2020,11,6,3.48,10.3,0.3,1.54
2020,11,7,4.97,13.58,0.39,2.0
2020,11,8,4.96,12.73,0.35,1.81
2020,11,9,2.67,7.62,0.22,1.14
2020,11,10,0.88,3.06,0.09,0.46
2020,11,11,2.72,8.3,0.25,1.3
2020,11,12,4.18,11.48,0.34,1.73
2020,11,13,5.86,15.07,0.41,2.15
2020,11,14,5.04,13.37,0.38,1.95
2020,11,15,4.86,12.82,0.36,1.84
2020,11,16,5.66,14.65,0.41,2.09
2020,11,17,6.01,15.26,0.42,2.17
2020,11,18,5.86,15.09,0.43,2.26
2020,11,19,5.89,15.2,0.43,2.25
2020,11,20,4.6,12.65,0.36,1.88
2020,11,21,5.86,15.21,0.43,2.25
2020,11,22,5.79,14.74,0.41,2.13
2020,11,23,5.84,14.78,0.4,2.07
2020,11,24,3.55,10.05,0.29,1.49
2020,11,25,5.08,13.39,0.38,2.02
2020,11,26,5.53,14.21,0.39,2.02
2020,11,27,4.12,11.2,0.31,1.65
2020,11,28,3.43,10.09,0.3,1.55
2020,11,29,0.95,3.23,0.09,0.47
2020,11,30,1.03,3.57,0.11,0.55
2020,12,1,3.35,9.71,0.28,1.47
2020,12,2,4.18,11.05,0.31,1.65
2020,12,3,6.02,14.68,0.39,2.03
2020,12,4,5.71,14.05,0.38,1.95
2020,12,5,5.23,13.05,0.36,1.91
2020,12,6,3.88,10.77,0.31,1.68
2020,12,7,0.98,3.25,0.09,0.48
2020,12,8,1.31,4.29,0.12,0.66
2020,12,9,3.62,10.05,0.29,1.56
2020,12,10,2.97,8.84,0.26,1.41
2020,12,11,3.36,9.63,0.27,1.44
2020,12,12,5.12,13.34,0.37,1.91
2020,12,13,5.34,13.77,0.38,2.0
2020,12,14,4.78,12.63,0.36,1.94
2020,12,15,3.95,10.7,0.3,1.6
2020,12,16,3.24,9.3,0.27,1.44
2020,12,17,3.89,10.72,0.31,1.7
2020,12,18,3.94,10.95,0.32,1.71
2020,12,19,3.69,10.13,0.28,1.49
2020,12,20,2.97,8.16,0.23,1.22
2020,12,21,2.81,8.15,0.23,1.26
2020,12,22,1.6,5.21,0.16,0.88
2020,12,23,3.3,9.52,0.28,1.55
2020,12,24,3.04,8.93,0.27,1.45
2020,12,25,1.97,6.21,0.2,1.06
2020,12,26,4.99,12.66,0.37,2.0
2020,12,27,4.97,12.66,0.38,2.09
2020,12,28,5.1,13.1,0.39,2.15
2020,12,29,5.58,14.2,0.43,2.35
2020,12,30,2.18,6.72,0.21,1.15
2020,12,31,3.75,9.91,0.3,1.7
