-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2021 through 12/31/2021 
Location: Latitude  11.119   Longitude 108.0229 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 160.45 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2021,10,1,4.95,14.02,0.42,2.18
2021,10,2,4.84,13.52,0.41,2.12
2021,10,3,2.22,7.09,0.21,1.08
2021,10,4,4.26,12.34,0.38,1.92
2021,10,5,4.66,13.47,0.41,2.09
2021,10,6,2.49,8.16,0.26,1.3
2021,10,7,4.88,13.95,0.42,2.16
2021,10,8,4.25,12.34,0.38,1.9
2021,10,9,4.59,13.39,0.41,2.09
2021,10,10,4.2,11.95,0.35,1.8
2021,10,11,3.25,9.94,0.3,1.51
2021,10,12,4.17,12.0,0.36,1.82
2021,10,13,4.04,11.95,0.36,1.8
2021,10,14,4.17,12.2,0.38,1.9
2021,10,15,4.84,13.52,0.4,2.04
2021,10,16,4.59,13.05,0.38,1.96
2021,10,17,3.65,11.05,0.34,1.73
2021,10,18,5.35,14.72,0.45,2.29
2021,10,19,5.95,15.81,0.47,2.43
2021,10,20,3.3,10.13,0.31,1.59
2021,10,21,4.36,12.44,0.37,1.89
2021,10,22,5.37,14.48,0.43,2.23
2021,10,23,5.33,14.24,0.41,2.12
2021,10,24,4.83,13.42,0.39,1.99
2021,10,25,2.22,7.12,0.21,1.08
2021,10,26,1.3,4.47,0.13,0.67
2021,10,27,2.6,8.3,0.26,1.31
2021,10,28,5.52,14.63,0.43,2.19
2021,10,29,5.11,13.84,0.4,2.05
2021,10,30,4.36,12.34,0.37,1.87
2021,10,31,2.84,8.66,0.25,1.28
2021,11,1,4.77,13.08,0.37,1.85
2021,11,2,6.0,15.48,0.44,2.27
2021,11,3,5.5,14.7,0.43,2.23
2021,11,4,4.93,13.46,0.39,2.02
2021,11,5,4.55,12.6,0.36,1.86
2021,11,6,5.53,14.64,0.41,2.16
2021,11,7,3.6,10.39,0.3,1.54
2021,11,8,5.43,14.38,0.41,2.16
2021,11,9,2.66,8.29,0.25,1.27
2021,11,10,2.82,8.57,0.26,1.33
2021,11,11,1.47,4.87,0.14,0.71
2021,11,12,4.64,12.95,0.38,1.99
2021,11,13,3.21,9.57,0.28,1.45
2021,11,14,2.94,9.12,0.27,1.4
2021,11,15,2.7,8.25,0.23,1.23
2021,11,16,1.43,4.8,0.13,0.7
2021,11,17,3.88,11.05,0.32,1.65
2021,11,18,1.42,4.53,0.12,0.61
2021,11,19,3.25,9.53,0.27,1.4
2021,11,20,3.38,9.95,0.27,1.41
2021,11,21,5.15,13.52,0.38,1.93
2021,11,22,2.48,7.73,0.22,1.12
2021,11,23,2.81,8.36,0.23,1.2
2021,11,24,4.55,12.24,0.34,1.82
2021,11,25,2.84,8.67,0.25,1.3
2021,11,26,2.51,7.74,0.23,1.18
2021,11,27,1.24,4.17,0.12,0.62
2021,11,28,2.54,7.73,0.23,1.2
2021,11,29,2.17,6.9,0.2,1.08
2021,11,30,3.17,9.39,0.28,1.52
2021,12,1,3.62,9.77,0.28,1.5
2021,12,2,4.74,12.12,0.33,1.75
2021,12,3,5.15,13.08,0.35,1.84
2021,12,4,4.6,11.67,0.32,1.71
2021,12,5,4.45,11.91,0.33,1.74
2021,12,6,5.43,13.57,0.36,1.86
2021,12,7,5.23,13.32,0.36,1.88
2021,12,8,4.12,11.27,0.3,1.59
2021,12,9,3.95,10.83,0.3,1.54
2021,12,10,5.68,14.35,0.4,2.11
2021,12,11,5.52,14.09,0.38,1.98
2021,12,12,5.02,13.37,0.37,1.94
2021,12,13,4.19,11.34,0.33,1.77
2021,12,14,4.6,12.37,0.34,1.76
2021,12,15,5.1,13.48,0.37,1.94
2021,12,16,5.32,13.75,0.39,2.05
2021,12,17,3.97,11.09,0.32,1.76
2021,12,18,3.79,9.77,0.27,1.41
2021,12,19,2.95,8.79,0.26,1.35
2021,12,20,4.55,11.98,0.34,1.79
2021,12,21,4.65,12.27,0.35,1.88
2021,12,22,3.98,10.7,0.3,1.62
2021,12,23,4.66,12.39,0.36,1.93
2021,12,24,5.18,13.2,0.37,1.95
2021,12,25,5.61,13.92,0.38,1.95
2021,12,26,4.93,12.45,0.34,1.77
2021,12,27,4.03,10.59,0.29,1.52
2021,12,28,3.33,9.45,0.27,1.46
2021,12,29,3.68,10.3,0.29,1.58
2021,12,30,4.54,12.05,0.34,1.79
2021,12,31,5.56,14.01,0.39,2.07
