-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2021 through 12/31/2021 
Location: Latitude  11.5753   Longitude 108.1429 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 699.21 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_UVB,ALLSKY_SFC_UVA,ALLSKY_SFC_SW_DWN
2021,10,1,2.18,0.42,14.02,4.95
2021,10,2,2.12,0.41,13.52,4.84
2021,10,3,1.08,0.21,7.09,2.22
2021,10,4,1.92,0.38,12.34,4.26
2021,10,5,2.09,0.41,13.47,4.66
2021,10,6,1.3,0.26,8.16,2.49
2021,10,7,2.16,0.42,13.95,4.88
2021,10,8,1.9,0.38,12.34,4.25
2021,10,9,2.09,0.41,13.39,4.59
2021,10,10,1.8,0.35,11.95,4.2
2021,10,11,1.51,0.3,9.94,3.25
2021,10,12,1.82,0.36,12.0,4.17
2021,10,13,1.8,0.36,11.95,4.04
2021,10,14,1.9,0.38,12.2,4.17
2021,10,15,2.04,0.4,13.52,4.84
2021,10,16,1.96,0.38,13.05,4.59
2021,10,17,1.73,0.34,11.05,3.65
2021,10,18,2.29,0.45,14.72,5.35
2021,10,19,2.43,0.47,15.81,5.95
2021,10,20,1.59,0.31,10.13,3.3
2021,10,21,1.89,0.37,12.44,4.36
2021,10,22,2.23,0.43,14.48,5.37
2021,10,23,2.12,0.41,14.24,5.33
2021,10,24,1.99,0.39,13.42,4.83
2021,10,25,1.08,0.21,7.12,2.22
2021,10,26,0.67,0.13,4.47,1.3
2021,10,27,1.31,0.26,8.3,2.6
2021,10,28,2.19,0.43,14.63,5.52
2021,10,29,2.05,0.4,13.84,5.11
2021,10,30,1.87,0.37,12.34,4.36
2021,10,31,1.28,0.25,8.66,2.84
2021,11,1,1.85,0.37,13.08,4.77
2021,11,2,2.27,0.44,15.48,6.0
2021,11,3,2.23,0.43,14.7,5.5
2021,11,4,2.02,0.39,13.46,4.93
2021,11,5,1.86,0.36,12.6,4.55
2021,11,6,2.16,0.41,14.64,5.53
2021,11,7,1.54,0.3,10.39,3.6
2021,11,8,2.16,0.41,14.38,5.43
2021,11,9,1.27,0.25,8.29,2.66
2021,11,10,1.33,0.26,8.57,2.82
2021,11,11,0.71,0.14,4.87,1.47
2021,11,12,1.99,0.38,12.95,4.64
2021,11,13,1.45,0.28,9.57,3.21
2021,11,14,1.4,0.27,9.12,2.94
2021,11,15,1.23,0.23,8.25,2.7
2021,11,16,0.7,0.13,4.8,1.43
2021,11,17,1.65,0.32,11.05,3.88
2021,11,18,0.61,0.12,4.53,1.42
2021,11,19,1.4,0.27,9.53,3.25
2021,11,20,1.41,0.27,9.95,3.38
2021,11,21,1.93,0.38,13.52,5.15
2021,11,22,1.12,0.22,7.73,2.48
2021,11,23,1.2,0.23,8.36,2.81
2021,11,24,1.82,0.34,12.24,4.55
2021,11,25,1.3,0.25,8.67,2.84
2021,11,26,1.18,0.23,7.74,2.51
2021,11,27,0.62,0.12,4.17,1.24
2021,11,28,1.2,0.23,7.73,2.54
2021,11,29,1.08,0.2,6.9,2.17
2021,11,30,1.52,0.28,9.39,3.17
2021,12,1,1.5,0.28,9.77,3.62
2021,12,2,1.75,0.33,12.12,4.74
2021,12,3,1.84,0.35,13.08,5.15
2021,12,4,1.71,0.32,11.67,4.6
2021,12,5,1.74,0.33,11.91,4.45
2021,12,6,1.86,0.36,13.57,5.43
2021,12,7,1.88,0.36,13.32,5.23
2021,12,8,1.59,0.3,11.27,4.12
2021,12,9,1.54,0.3,10.83,3.95
2021,12,10,2.11,0.4,14.35,5.68
2021,12,11,1.98,0.38,14.09,5.52
2021,12,12,1.94,0.37,13.37,5.02
2021,12,13,1.77,0.33,11.34,4.19
2021,12,14,1.76,0.34,12.37,4.6
2021,12,15,1.94,0.37,13.48,5.1
2021,12,16,2.05,0.39,13.75,5.32
2021,12,17,1.76,0.32,11.09,3.97
2021,12,18,1.41,0.27,9.77,3.79
2021,12,19,1.35,0.26,8.79,2.95
2021,12,20,1.79,0.34,11.98,4.55
2021,12,21,1.88,0.35,12.27,4.65
2021,12,22,1.62,0.3,10.7,3.98
2021,12,23,1.93,0.36,12.39,4.66
2021,12,24,1.95,0.37,13.2,5.18
2021,12,25,1.95,0.38,13.92,5.61
2021,12,26,1.77,0.34,12.45,4.93
2021,12,27,1.52,0.29,10.59,4.03
2021,12,28,1.46,0.27,9.45,3.33
2021,12,29,1.58,0.29,10.3,3.68
2021,12,30,1.79,0.34,12.05,4.54
2021,12,31,2.07,0.39,14.01,5.56
